,_id,DLY_QTY,DLY_GAIN,DLY_AWD_QTY,DLY_AWD_GAIN,TYPE,DATE,HOUR
4711,"{'DATE': '20190501', 'HOUR': 22.0, 'TYPE': 'BID'}",579.99,0.0,579.99,38354.738699999994,BID,20190501,22.0
4712,"{'DATE': '20190613', 'HOUR': 13.0, 'TYPE': 'BID'}",592.626,0.0,592.626,26508.16098,BID,20190613,13.0
4713,"{'DATE': '20190309', 'HOUR': 10.0, 'TYPE': 'BID'}",593.946,0.0,593.946,34217.22906,BID,20190309,10.0
4714,"{'DATE': '20190520', 'HOUR': 16.0, 'TYPE': 'BID'}",568.515,0.0,568.515,29039.746199999998,BID,20190520,16.0
4715,"{'DATE': '20191007', 'HOUR': 9.0, 'TYPE': 'BID'}",666.601,0.0,666.601,53668.04651,BID,20191007,9.0
4716,"{'DATE': '20190309', 'HOUR': 9.0, 'TYPE': 'BID'}",648.298,0.0,648.298,38878.43106,BID,20190309,9.0
4717,"{'DATE': '20190309', 'HOUR': 8.0, 'TYPE': 'BID'}",568.803,0.0,568.803,34111.11591,BID,20190309,8.0
4718,"{'DATE': '20190120', 'HOUR': 14.0, 'TYPE': 'BID'}",459.248,0.0,459.248,28661.66768,BID,20190120,14.0
4719,"{'DATE': '20190309', 'HOUR': 6.0, 'TYPE': 'BID'}",445.18,0.0,445.18,23443.178799999998,BID,20190309,6.0
4720,"{'DATE': '20190309', 'HOUR': 6.0, 'TYPE': 'OFF'}",654.817,8261.98,654.817,34482.663219999995,OFF,20190309,6.0
4721,"{'DATE': '20190601', 'HOUR': 11.0, 'TYPE': 'BID'}",493.89,0.0,493.89,17794.8567,BID,20190601,11.0
4722,"{'DATE': '20190309', 'HOUR': 4.0, 'TYPE': 'BID'}",484.82,0.0,484.82,25123.3724,BID,20190309,4.0
4723,"{'DATE': '20181206', 'HOUR': 20.0, 'TYPE': 'BID'}",926.361,0.0,926.361,70792.50762,BID,20181206,20.0
4724,"{'DATE': '20190309', 'HOUR': 3.0, 'TYPE': 'BID'}",484.653,0.0,484.653,25521.826979999998,BID,20190309,3.0
