generator,number,operator,zone,max_quantity,min_quantity
UP_VALPELLIN_1,269,['C.V.A. TRADING S.R.L. A S.U.'],['NORD'],880,188
UP_VALLE_SEC_1,270,['ENEL PRODUZIONE S.P.A.'],['CNOR'],217.4,56.3
UP_NPWRLVORNO_7,271,"['Bilateralista', 'ENI SPA']",['CNOR'],328,0
UP_URURI_1,272,['NEXT KRAFTWERKE GMBH'],['SUD'],70.5,0.1
UP_SRRCRPNTO3_1,273,"['EDISON SPA', 'ENEL PRODUZIONE S.P.A.']",['SUD'],41451,1
UP_TXDRPSCRLN_1,274,"['C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.', 'EGO TRADE SRL', 'EGO TRADE SPA']",['CNOR'],35.46,3
UP_TVRNLSTRTS_1,275,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SUD'],104.31,1
UP_CTNUCENORD_1,276,"['ERG POWER GENERATION S.P.A.', 'Bilateralista']",['SICI'],3430,219.42
UP_NRGLTRNTVA_1,277,"['DUFENERGY TRADING SA', 'DXT COMMODITIES SA']",['SARD'],139122,1
UP_TVRNCADUTA_1,278,['EDP RENEWABLES ITALIA HOLDING SRL'],['SUD'],27697,14
UPV_SWGDOEESLCDO,279,['ELECTRADE SPA'],['SVIZ'],100,2
UP_GNSTRDGLSC_1,280,['DANSKE COMMODITIES A.S'],['CSUD'],142.75,25
UP_VNTODIVINO_1,281,['AXPO ITALIA SPA'],['SICI'],67073,6
UP_TURBIGO_S_1,282,['ENEL PRODUZIONE S.P.A.'],['NORD'],19.72,2.05
UP_TRSNVNCNZO_1,283,['ERG POWER GENERATION S.P.A.'],['SUD'],89164,2
